date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:03	699/699	---M-Z	200	added ('OK')	text/javascript	etag:%222bb-61f787249d034-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/datatable.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/datatable.init.js	(from https://mannatthemes.com/metrica/default/tables-datatable.html)
23:26:04	2817/2817	---M-Z	200	added ('OK')	text/javascript	etag:%22b01-61f787249d034-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/editable.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/editable.init.js	(from https://mannatthemes.com/metrica/default/tables-editable.html)
23:26:10	31936/31936	---M-Z	200	added ('OK')	text/javascript	etag:%227cc0-61f78724ad9d4-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/gmaps/gmaps.min.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/gmaps/gmaps.min.js	(from https://mannatthemes.com/metrica/default/maps-google.html)
23:26:11	1231/1231	---M-Z	200	added ('OK')	text/javascript	etag:%224cf-61f787249d034-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/gmaps.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/gmaps.init.js	(from https://mannatthemes.com/metrica/default/maps-google.html)
23:26:11	14004/14004	---M-Z	200	added ('OK')	text/css	etag:%2236b4-61f78724af914-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/leaflet/leaflet.css	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/leaflet/leaflet.css	(from https://mannatthemes.com/metrica/default/maps-leaflet.html)
23:26:12	143908/143908	---M-Z	200	added ('OK')	text/javascript	etag:%2223224-61f78724af914-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/leaflet/leaflet.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/leaflet/leaflet.js	(from https://mannatthemes.com/metrica/default/maps-leaflet.html)
23:26:12	5311/5311	---M-Z	200	added ('OK')	text/javascript	etag:%2214bf-61f787249d034-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/leaflet-map.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/leaflet-map.init.js	(from https://mannatthemes.com/metrica/default/maps-leaflet.html)
23:26:12	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-61f78724ae974-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://mannatthemes.com/metrica/default/maps-vector.html)
23:26:13	32617/32617	---M-Z	200	added ('OK')	text/javascript	etag:%227f69-61f78724ae974-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/jsvectormap/js/jsvectormap.min.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/jsvectormap/js/jsvectormap.min.js	(from https://mannatthemes.com/metrica/default/maps-vector.html)
23:26:13	102233/102233	---M-Z	200	added ('OK')	text/javascript	etag:%2218f59-61f78724ae974-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/jsvectormap/maps/world.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/jsvectormap/maps/world.js	(from https://mannatthemes.com/metrica/default/maps-vector.html)
23:26:13	1201/1201	---M-Z	200	added ('OK')	text/javascript	etag:%224b1-61f787249dfd4-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/vectormap.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/vectormap.init.js	(from https://mannatthemes.com/metrica/default/maps-vector.html)
23:26:14	1896/1896	---M--	200	added ('OK')	image/png	etag:%22768-61f787248e5d4%22	https://mannatthemes.com/metrica/default/assets/images/bell.png	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/images/bell.png	(from https://mannatthemes.com/metrica/default/email-templates-alert.html)
23:26:14	6084/6084	---M-Z	200	added ('OK')	text/css	etag:%2217c4-61f787249ef74-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/@midzer/tobii/tobii.min.css	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/@midzer/tobii/tobii.min.css	(from https://mannatthemes.com/metrica/default/pages-profile.html)
23:26:15	21589/21589	---M-Z	200	added ('OK')	text/javascript	etag:%225455-61f787249ef74-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/@midzer/tobii/tobii.min.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/@midzer/tobii/tobii.min.js	(from https://mannatthemes.com/metrica/default/pages-profile.html)
23:26:15	11742/11742	---M-Z	200	added ('OK')	text/css	etag:%222dde-61f78724ad9d4-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/hopscotch/css/hopscotch.min.css	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/hopscotch/css/hopscotch.min.css	(from https://mannatthemes.com/metrica/default/pages-tour.html)
23:26:16	22362/22362	---M-Z	200	added ('OK')	text/javascript	etag:%22575a-61f78724ad9d4-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/hopscotch/js/hopscotch.min.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/hopscotch/js/hopscotch.min.js	(from https://mannatthemes.com/metrica/default/pages-tour.html)
23:26:16	312/312	---M-Z	200	added ('OK')	text/javascript	etag:%22138-61f787249d034-gzip%22	https://mannatthemes.com/metrica/default/assets/js/pages/tour.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/js/pages/tour.init.js	(from https://mannatthemes.com/metrica/default/pages-tour.html)
23:26:17	402/402	---M-Z	200	added ('OK')	text/css	etag:%22192-61f78724af914-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/listree/listree.min.css	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/listree/listree.min.css	(from https://mannatthemes.com/metrica/default/pages-treeview.html)
23:26:17	702/702	---M-Z	200	added ('OK')	text/javascript	etag:%222be-61f78724af914-gzip%22	https://mannatthemes.com/metrica/default/assets/libs/listree/listree.umd.min.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/libs/listree/listree.umd.min.js	(from https://mannatthemes.com/metrica/default/pages-treeview.html)
23:26:17	279/279	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Dec%202024%2018:27:05%20GMT	https://mannatthemes.com/metrica/default/assets/JS/pages/tree.init.js	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/JS/pages/tree.init.js	(from https://mannatthemes.com/metrica/default/pages-treeview.html)
23:26:18	31129/31129	---M--	200	added ('OK')	image/png	etag:%227999-61f787249b0f4%22	https://mannatthemes.com/metrica/default/assets/images/small/p-1.png	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/images/small/p-1.png	(from https://mannatthemes.com/metrica/default/pages-pricing.html)
23:26:19	27744/27744	---M--	200	added ('OK')	image/png	etag:%226c60-61f787249b0f4%22	https://mannatthemes.com/metrica/default/assets/images/small/p-2.png	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/images/small/p-2.png	(from https://mannatthemes.com/metrica/default/pages-pricing.html)
23:26:20	25590/25590	---M--	200	added ('OK')	image/png	etag:%2263f6-61f787249b0f4%22	https://mannatthemes.com/metrica/default/assets/images/small/p-3.png	C:/Users/Xeven/Downloads/Metrica/mannatthemes.com/metrica/default/assets/images/small/p-3.png	(from https://mannatthemes.com/metrica/default/pages-pricing.html)
